content,course_link,course_start_date,description,duration,faculty_1_description,faculty_1_designation,faculty_1_name,faculty_2_description,faculty_2_designation,faculty_2_name,fee_in_inr,fee_in_usd,institute,prerequisites,skills,target_students,title,what_you_will_learn
"1. MODULE 1 - FUNDAMENTALS OF PYTHON (By Industry Partner)
2. MODULE 2 - DATA WRANGLING
3. MODULE 3 - MATHEMATICAL FOUNDATION FOR DATA ANALYSIS
4. MODULE 4 - MACHINE LEARNING MODELS IN PYTHON
5. MODULE 5 - DATA VISUALIZATION USING MATPLOTLIB
6. MODULE 6 - DEEP LEARNING USING TENSORFLOW
7. MODULE 7 - HANDLING BIG DATA WITH SPARK
8. CAPSTONE PROJECT
9. On CAMPUS COMPONENT
10. ONE MONTH INTERNSHIP WITH TRANSORG ANALYTICS (INDUSTRY PARTNER)",https://talentedge.com/iiit-allahabad/big-data-analytics-machine-learning-course-iiit-allahabad,,"Organizations today operate in a world surrounded by data, and data that is understood and analyzed smartly can play a pivotal role in determining the success of many businesses. Data Science, through its various inherent tools and techniques, is successfully adding value to all the business models by using statistics and deep learning to make better, more relevant and timel",,"Suneel Yadav has received a Ph.D. degree in the discipline of Electrical Engineering with the Indian Institute of Technology, Indore, India, in 2016. He is currently working with the Department of Electronics and Communication Engineering, Indian Institute of Information and Technology Allahabad, Prayagraj, India, as an Assistant Professor. He is serving as a faculty in-charge of Mobile and Wireless Networking Laboratory (MoWiNeT) at Indian Institute of Information and Technology Allahabad, Prayagraj, India. He has numerous publications in peer-reviewed journals and conferences. His current research interests include detection and estimation theory, signal processing, wireless relaying techniques, cooperative communications, cognitive relaying networks, device-to-device communications, reconfigurable intelligent surfaces, physical layer security, Internet of Things, and MIMO systems.",Assistant Professor,Dr. Suneel Yadav,"Suneel Yadav has received a Ph.D. degree in the discipline of Electrical Engineering with the Indian Institute of Technology, Indore, India, in 2016. He is currently working with the Department of Electronics and Communication Engineering, Indian Institute of Information and Technology Allahabad, Prayagraj, India, as an Assistant Professor. He is serving as a faculty in-charge of Mobile and Wireless Networking Laboratory (MoWiNeT) at Indian Institute of Information and Technology Allahabad, Prayagraj, India. He has numerous publications in peer-reviewed journals and conferences. His current research interests include detection and estimation theory, signal processing, wireless relaying techniques, cooperative communications, cognitive relaying networks, device-to-device communications, reconfigurable intelligent surfaces, physical layer security, Internet of Things, and MIMO systems.",Associate Professor - IIIT Allahabad,Dr. Sonali Agarwal,INR 200000 + GST,USD 4000,CSTCP-IIIT Allahabad,"Mathematics or Statistics as a subject in Class XII or Graduation | Formal education in, or knowledge/experience of any programming language would be beneficial | This program is entirely hands-on and so it is recommended, though not a necessity that students have two devices (laptop/desktop) – one to follow the lecture, and the other for hands-on practice alongside, during the class", Probability and statistics  |  Linear Algebra  |  Data Visualization  |  Data Manipulation ,, PG Certificate Program, Mathematical Foundation for Data Analysis  |  Machine Learning Models in Python  |  Data Visualization using Matplotlib  |  Deep Learning using TensorFlow  |  Bigdata with Spark  |  Data Wrangling  |  95% Completion Rate  |  92% Satisfaction Score  |  78% Referablity  |  Live & Interactive Digital Learning  |  Convenient Schedules to Suit Working Professionals  |  Benefit from Talentedge’s Alumni Network  |  One on one interactions  |  Mobile platform enabled 
"1. Basics of Communications
2. Underlying Technologies
3. 
4. Standards
5. Distributed Computing and MEC
6. 5G Use-cases/Applications, IoT, and AI/ML in 5G
7. Policy and Regulations
8. Security",https://talentedge.com/iit-delhi/certificate-programme-in-5g-iot-ai,,"With the onset of 5G, the dawn of overwhelming technological revolutions is upon us. With",,"Dr. Brejesh Lall completed his PhD in 1997 from IIT Delhi in the area of Multirate Signal Processing. He joined Hughes Software Systems in September 1997 and worked there for nearly 8 years in the Signal Processing group. He worked on Source Coding and PHY layer solutions for many communication technologies such as terrestrial wireless, GEO and LEO Satellite communication systems, Satellite broadband and others. He returned to his alma mater and joined IIT Delhi as a faculty member in 2005. Since July 2005, he has been in the Electrical Engineering Department and has contributed to research & teaching in the general area of Signal Processing. He has graduated 20 PhD students during that period. Besides them, 25 research scholars are pursuing PhD under his supervision. He has successfully completed numerous sponsored projects and consultancies and is working on several others. The total number is close to 50 and the total budget outlay in excess of Rs.75 crores. The areas in which he has been publishing and doing sponsored research are centered on signal processing. The areas include, object representation, tracking and classification, odometry, depth map generation, representation and rendering. He is also exploring vector sensor based underwater acoustic communications, and performance issues in molecular communications. He is the former head of Bharti School of Telecom Technology and Management, and the co-ordinator of two centers of excellence, viz. Airtel IIT Delhi Centre of Excellence in Telecommunications and Ericsson IIT Delhi 5G Center of Excellence. He is also the in-charge of an IoT laboratory that he set up in collaboration with Samsung. He has mentored 6 startups, in the areas of Virtualization, Geo-fencing, UAV based solutions and recommendation and data mining. He actively participates in building and deploying technology. He has also served as expert in numerous government and private agencies in aspects related to signal processing.","Professor, Electrical Engineering Department, IIT Delhi",Dr. Brejesh Lall,,,,INR 100000 + GST,USD 2000,IIT Delhi,"A desktop/Laptop, a camera (Mobile camera should be fine), some pencil and papers and some basic kit for crafting | Internet speed with minimum 2 Mbps (Wired/LAN Connection) | Supporting OS – Window 7, Window 8, Windows 10 & Mac OS | Recommended Browser – Google Chrome and Firefox | Recommended hardware Devices for Live class – Desktop and Laptop | The Zoom application must be installed on your machine", Data Analytics  |  Programming skill  |  Networking ,"Communication Engineers, Technical Heads, Young Engineers, Final Year B.Tech students", Certificate Programme In 5G And Its Applications, Various types of  Communications  |  1G to 5G evolution  |  Use and Implementation of 5G  |  Issues related to 5G  |  Underlying Technologies in 5G like  |  5G's impact on Emerging Technologies like AI & IOT  |  Security Issues with 5G  |  95% Completition Rate  |  92% Satisfaction Score  |  Live & Interactive Digital Learning  |  Benefit from Talentedge’s Alumni Network 
"1. Project Management Fundamentals
2. Project Selection
3. Project Tendering and Budgeting
4. Project Organization
5. Project Planning
6. Resource Allocation and Optimization
7. Contracts Management
8. Managing Risk in Projects (Case Analysis)
9. Project Monitoring and Performance Management (Case Analysis)
10. Project Termination
11. International Project Management
12. Project Management Under Crisis
13. Agile Project Management
14. 
15. 
16. 
17. 
18. 
19. 
20. 
21. 
22. 
23. 
24. 
25. 
26. ",https://talentedge.com/iim-raipur/certificate-course-project-management,,"In today’s world of business, most members of an organization are involved in project-related activities in some way or the other. With the increasing dynamism and complexity of businesses in the macro-environment, the ability to successfully manage business projects has become a critical skill for the sustained profitability and existence of organizations. Hence, comp",,"Area: Operations & Quant. Methods.Gopal Kumar is Assistant Professor of Operations Management at the IIM Raipur. He received his PhD in supply chain collaboration from the IIT Kharagpur. He carried postdoctoral research at Dublin City University (DCU), Ireland where he worked on facilitating easy access of advanced predictive modelling for improving productivity of SMEs in Europe in collaboration with various European SMEs—Ceramicx Ireland, Vistakon, ICMR—and University of Edinburgh, UK. He also has experience in ERP development. Based on open source philosophy, he developed a commercial tool, for European Union, which largely streamlined the expertise and time required for predictive modelling along with process optimization. His research articles are published in various prestigious peer reviewed journals. He presented his research work at several globally recognized Operations and Supply Chain Management forum. His primary research interests include supply chain collaboration, sustainable and green supply chain collaboration, sourcing, product-service system, big data analytics, business process automation, and information technology application in improving and optimizing operations of SMEs.",Assistant Professor - IIM Raipur,Prof. Gopal Kumar,"Area: Operations & Quant. Methods.Gopal Kumar is Assistant Professor of Operations Management at the IIM Raipur. He received his PhD in supply chain collaboration from the IIT Kharagpur. He carried postdoctoral research at Dublin City University (DCU), Ireland where he worked on facilitating easy access of advanced predictive modelling for improving productivity of SMEs in Europe in collaboration with various European SMEs—Ceramicx Ireland, Vistakon, ICMR—and University of Edinburgh, UK. He also has experience in ERP development. Based on open source philosophy, he developed a commercial tool, for European Union, which largely streamlined the expertise and time required for predictive modelling along with process optimization. His research articles are published in various prestigious peer reviewed journals. He presented his research work at several globally recognized Operations and Supply Chain Management forum. His primary research interests include supply chain collaboration, sustainable and green supply chain collaboration, sourcing, product-service system, big data analytics, business process automation, and information technology application in improving and optimizing operations of SMEs.",Assistant Professor - IIM Raipur,Prof. Ramkumar M,INR 75000 + GST,USD 1700,IIM Raipur,, Project Management  |  Risk Management  |  Crsis Management  |  Project Tendering & Budgeting ,"Managers, Analytics Professionals, Working executives", Executive Certificate Program, Project Life Cycle  |  Risk in Projects  |  Project planning & evaluation  |  Phases of Crisis Management  |  Factors affecting International Project Management  |  Role of the “triple constraint” in project management  |  Current aspects of Project Management  |  Project Budgeting  |  Project Identification & Evaluation  |  Role of a Project Manager  |  95% Completition Rate  |  92% Satisfaction Score  |  Live & Interactive Digital Learning 
"1. Fundamentals of HR
2. Fundamentals of OB
3. Organizational Culture, Design and Structure
4. HR as a Business Partner (Strategic and Operational)
5. HR Planning
6. Talent Management
7. Reward & Recognition
8. Industrial Relations & Legal Framework
9. Managing HR in Different Ecosystem
10. Relationship Management
11. Campus Component",https://talentedge.com/iim-raipur/certificate-human-resource-management-course-iim-raipur,,Effective management of human capital and maintaining a cordial organization culture is critical to the success of most businesses. Regardless of whether an organization is an SME or a multinational organization; Human Resource Department (HRM) is the central cohesive source of development for any business.,,"Area: HRM & Organizational Behaviour.Prof. Damini Saini is an Assistant Professor in the area of Human Resource Management/ Organizational Behavior at Indian institute of Management, Raipur. Dr. Saini holds a PhD degree in HRM/OB from Faculty of Management Studies (FMS), University of Delhi. Her dissertation discusses the study of human development with Integral leadership model, that talks about the transcends of mind and possibilities of transformation from outside to inside and reflects the psychological, emotional, and spiritual well-being. Apart from this her scholarly interests are leadership, business ethics, significance of ethical education in management, and value-based management etc. She has contributed to various internationally acclaimed journals and book chapters. She has also actively taken part in various conferences and seminars.",Assistant Professor,Prof. Damini Saini,"Area: HRM & Organizational Behaviour.Prof. Damini Saini is an Assistant Professor in the area of Human Resource Management/ Organizational Behavior at Indian institute of Management, Raipur. Dr. Saini holds a PhD degree in HRM/OB from Faculty of Management Studies (FMS), University of Delhi. Her dissertation discusses the study of human development with Integral leadership model, that talks about the transcends of mind and possibilities of transformation from outside to inside and reflects the psychological, emotional, and spiritual well-being. Apart from this her scholarly interests are leadership, business ethics, significance of ethical education in management, and value-based management etc. She has contributed to various internationally acclaimed journals and book chapters. She has also actively taken part in various conferences and seminars.",Assistant Professor,Prof. Anubha Dadhich,INR 155000 + GST,USD 3100,IIM Raipur,HR Professionals – Minimum of at least 2 years of relevant work experience | Non HR Professionals – Minimum of 4 years of work experience, Communication  |  HR Planning & Management  |  Talent Management  |  Decision-Making  |  IR & Legal Framework  |  Reward & Recognition ,"Early HR Professionals, Aspiring HR professionals, HR Managers, Entrepreneurs", Post Graduate Executive Certification, Behavioural Issues within the Organization  |  Fundamentals of HR  |  Tools & Techniques of People Management  |  HR in Global Virtual Scenario  |  Talent Management  |  HR Planning  |  95% Completition Rate  |  92% Satisfaction Score  |  78% Referablity  |  Live & Interactive Digital Learning  |  One on one interactions  |  Mobile platform enabled  |  Convenient Schedules to Suit Working Professionals  |  Benefit from Talentedge’s Alumni Network 
"1. 
2. 
3. 
4. Elective Streams (Students to Choose Any One Stream in its' entirety)
5. COMPULSORY DISSERTATION COMPONENT
6. CAMPUS COMPONENT",https://talentedge.com/xlri-jamshedpur/postgraduate-certificate-human-capital-leadership-course,,"The macro and micro environment in which a business operates is changing rapidly, and brings with it, both challenges and opportunities like never before. In a dynamic environment such as this, there is also an increasing need for HR leaders to develop and demonstrate competencies that are relevant to the present day demands of the business. New recruits are referred to as c",,"Dr. M. Srimannarayana, a Gold medallist in M.A (IR & PM) from Andhra University, has more than three decades of experience as a distinguished academician and consultant. His doctorate from Utkal University was on Training and Development in Public Sector Undertakings. He is a member of the Association of Talent Development, USA and the Indian Society for Training and Development. Prior to joining XLRI, he was with the Maharishi Institute of Management, Hyderabad. Dr. M. Srimannarayana has presented five refereed papers in international conferences and besides publishing thirty articles in refereed journals, he is on the editorial and advisory board of reputed journals and university departments. His areas of interest are Staffing, Training needs assessment and Training evaluation and he has assisted various companies, government departments and state governments through consultancy projects and MDPs on HR policy, Training and HRD.",Associate Professor - XLRI Jamshedpur,Prof Soumendra N Bagchi,"Dr. M. Srimannarayana, a Gold medallist in M.A (IR & PM) from Andhra University, has more than three decades of experience as a distinguished academician and consultant. His doctorate from Utkal University was on Training and Development in Public Sector Undertakings. He is a member of the Association of Talent Development, USA and the Indian Society for Training and Development. Prior to joining XLRI, he was with the Maharishi Institute of Management, Hyderabad. Dr. M. Srimannarayana has presented five refereed papers in international conferences and besides publishing thirty articles in refereed journals, he is on the editorial and advisory board of reputed journals and university departments. His areas of interest are Staffing, Training needs assessment and Training evaluation and he has assisted various companies, government departments and state governments through consultancy projects and MDPs on HR policy, Training and HRD.","Professor, M.A. (Calicut), Ph.D. (IIT Bombay) XLRI Jamshedpur",Dr R K Premarajan,INR 2500 + GST,USD 50,XLRI Jamshedpur,"Minimum 10 years of Work Experience, of which, at least 6 years in the HR function", Decision-Making  |  Leadership  |  Communication  |  Financial Planning  |  Operational skills  |  Talent Management  |  Mentoring ,"Senior HR Professionals, New-age HR Professionals, HR Managers, HR Leaders", Postgraduate Certificate, Managing a Multi-cultural Environment  |  Motivating a large number of employees  |  Building Impactful Relationships  |  Leading Organizational Change  |  Performance Measurement & Management  |  Corporate Governance and Enterprise Risk Management  |  International Aspects of Business  |  95% Completition Rate  |  92% Satisfaction Score  |  78% Referablity  |  Live & Interactive Digital Learning  |  Convenient Schedules to Suit Working Professionals  |  Benefit from Talentedge’s Alumni Network  |  One on one interactions  |  Mobile platform enabled  |  Options for Loan Assistance 
"1. Leading in the New Normal
2. Authentic Leadership
3. Building a High Performance Culture
4. Leading Change and Driving Innovation
5. Responsible Leadership for Tomorrow",https://talentedge.com/ucla-extension/executive-program-strategic-leadership,,"The Fourth Industrial Revolution of the 21st century has ushered in a new wave of management development and leadership practices. The Leadership Excellence in a VUCA World program, from Igesia Academy and UCLA Extn in collaboration with Talentedge, aims to prepare you for senior leadership roles by helping you discover your unique leadership style in a VUCA world.",,"Soumitra Dutta is a Professor of Management at and the former founding dean of the SC Johnson College of Business at Cornell University, New York. He has held senior administrative positions in leading business schools and universities for more than 20 years. He is the Chair of the Global Business School Network, an influential network of more than 100 leading business schools from around the world. He is also the founder and President of Portulans Institute, a non-partisan nonprofit research and education institution based in Washington DC..Dutta is on the global boards of Sodexo and Dassault Systems. He is also a member of the Shareholder Council of Chicago-based healthcare consulting company ZS Associates. Dutta is a member of the Davos Circle, an association of long-time participants in the Annual Davos meeting of the World Economic Forum. He was the co-chair of the World Economic Forum’s Global Future Council on Innovation Ecosystems. He is also the Chief Academic Advisor to the Artificial Intelligence Forum of the Confederation of Indian Industry..Other eminent faculty members and industry experts, as approved by UCLA Extn, will co-teach in the program.",,Prof. Soumitra Dutta,,,,INR 100000 + GST,USD 0,UCLA Extension,High-potential managers with minimum 7 years of work experience, Leadership skills  |  Mentoring  |  Talent Management  |  Business Management  |  Innovation  |  Decision-Making ,"Business Executives, Mid-Level Managers, Senior Managers, C-Suite Execs, AVPs/VPs/Directors, Account Managers, Entrepreneurs, Project Managers", Leadership Excellence, VUCA World  |  Business Challenges in a Post-Covid environment  |  Authentic Leadership  |  Building an Agile organization  |  Leadership Styles  |  Business Decision making Process  |  95% Completion Rate  |  92% Satisfaction Score  |  78% Referability  |  Live & Interactive Digital Learning  |  Convenient Schedules to Suit Working Professionals  |  Benefit from Talentedge’s Alumni Network  |  One-on-one interactions  |  Mobile platform enabled 
"1. Introduction to Industrial Design
2. Case studies of successful designers
3. Interaction with practicing Industrial designers from various domains
4. Understanding users
5. Identification of a possible business opportunity
6. Concept Generation
7. Concept Selection
8. Refinement of concepts/iterative process of concept refinement
9. Prototyping
10. Start-ups: Case study
11. Having your own start-up in practice - from Module 4 through 10",https://talentedge.com/iit-delhi/certificate-program-industrial-design-innovation-entrepreneurship,,"Industrial Design (ID) is the professional service of creating and developing concepts and specifications that optimize the function, value and appearance of products and systems for the mutual benefit of both user and manufacturer. With the rise in concern for new products and new business opportunities, it becomes significant to explore the possibilities of new products an",,"Professor Sumer Singh is an educationist in the field of design. He is best known for his teachings in realizing products, systems, and services, through the practical, hands-on experience delivered to his students. With a bachelors’ degree in Civil Engineering from NIT Hamirpur (2001) and a Masters’ Degree in Industrial Design from IIT, Delhi (2003), professor Sumer has mastered the field of Industrial Design and other related domains. He is currently imparting his sound knowledge in this field to his own alma mater..In the years 2003-2007, Professor Sumer has taught in reputed institutes such as M S Ramaiah School of Advanced Studies, Bangalore (Now MSRUAS, Ramaiah University of Applied Science) and later at MAEERs MIT Institute of Design, Pune (Now MIT-ADTU, MIT Art, Design and Technology University) until 2010. He further went on to pursue his Ph.D. in the broader domain of Design + Environmental Sustainability (2011-2019)..With the extensive amount of knowledge gained over the years, Professor Sumer also acts as visiting faculty at various reputed institutes across India; a few of which are – Lady Irwin College, Delhi, NIFT (Delhi), IITDM (Jabalpur), IIT (Mandi), etc.","Assistant Professor, Department of Design, IIT Delhi",Dr. Sumer Singh,,,,INR 60000 + GST,USD 1400,IIT Delhi,"A desktop/Laptop, a camera (Mobile camera should be fine), some pencil and papers and some basic kit for crafting | Internet speed with minimum 2 Mbps (Wired/LAN Connection) | Supporting OS – Window 7, Window 8, Windows 10 & Mac OS | Recommended Browser – Google Chrome and Firefox | Recommended hardware Devices for Live class – Desktop and Laptop | The Zoom application must be installed on your machine", Critical thinking  |  Business management skills  |  Decision-making  |  Risk taking ,"Businessmen, Aspiring Youngsters, Entrepreneurs, Working Professionals", Certificate Programme," Various types of Industrial Designs  |  Role of Industrial Design in Innovation and Entrepreneurship  |  Business opportunities  |  Concept Generation, selection and refinement  |  95% Completion Rate  |  92% Satisfaction score  |  78% Referability  |  Live & Interactive Digital Learning  |  Convenient Schedules to Suit Working Professionals  |  Benefit from Talentedge’s Alumni Network "
"1. Startup Culture in Technology Context and Environment
2. Achievement Motivation – Training and Aptitude
3. Technology Evolution, Adoption, and Diffusion
4. Introduction to IoT, Industry 4.0, AI/ML
5. Governance and Regulatory Frameworks
6. Emerging Business Models
7. New Product Development
8. Telecom Applications and Relevance to Startups
9. Digital Marketing and Analytics
10. Managerial Functions - Marketing, Finance, HR, IT, Operations
11. CRM and Service Management
12. Brand Management, Identify and Architecture
13. Business Planning
14. Fundraising and VC Funding",https://talentedge.com/iit-delhi/certificate-course-startup-boot-camp-iit-delhi,,"Owing to the expansion of digitalization and economic reforms across the world, new businesses have started popping up in large numbers. Countries like India are now considered safe havens for startups to flourish. Recently, the country has emerged to become the third largest startup ecosystem in the world, witnessing almost 2-3 new ventures emerging every day in the last fe",,"Dr. Brejesh Lall completed his PhD in 1997 from IIT Delhi in the area of Multirate Signal Processing. He joined Hughes Software Systems in September 1997 and worked there for nearly 8 years in the Signal Processing group. He worked on Source Coding and PHY layer solutions for many communication technologies such as terrestrial wireless, GEO and LEO Satellite communication systems, Satellite broadband and others. He returned to his alma mater and joined IIT Delhi as a faculty member in 2005. Since July 2005, he has been in the Electrical Engineering Department and has contributed to research & teaching in the general area of Signal Processing. He has graduated 20 PhD students during that period. Besides them, 25 research scholars are pursuing PhD under his supervision. He has successfully completed numerous sponsored projects and consultancies and is working on several others. The total number is close to 50 and the total budget outlay in excess of Rs.75 crores. The areas in which he has been publishing and doing sponsored research are centered on signal processing. The areas include, object representation, tracking and classification, odometry, depth map generation, representation and rendering. He is also exploring vector sensor based underwater acoustic communications, and performance issues in molecular communications. He is the former head of Bharti School of Telecom Technology and Management, and the co-ordinator of two centers of excellence, viz. Airtel IIT Delhi Centre of Excellence in Telecommunications and Ericsson IIT Delhi 5G Center of Excellence. He is also the in-charge of an IoT laboratory that he set up in collaboration with Samsung. He has mentored 6 startups, in the areas of Virtualization, Geo-fencing, UAV based solutions and recommendation and data mining. He actively participates in building and deploying technology. He has also served as expert in numerous government and private agencies in aspects related to signal processing.","Professor, Electrical Engineering Department, IIT Delhi",Dr. Brejesh Lall,"Dr. Brejesh Lall completed his PhD in 1997 from IIT Delhi in the area of Multirate Signal Processing. He joined Hughes Software Systems in September 1997 and worked there for nearly 8 years in the Signal Processing group. He worked on Source Coding and PHY layer solutions for many communication technologies such as terrestrial wireless, GEO and LEO Satellite communication systems, Satellite broadband and others. He returned to his alma mater and joined IIT Delhi as a faculty member in 2005. Since July 2005, he has been in the Electrical Engineering Department and has contributed to research & teaching in the general area of Signal Processing. He has graduated 20 PhD students during that period. Besides them, 25 research scholars are pursuing PhD under his supervision. He has successfully completed numerous sponsored projects and consultancies and is working on several others. The total number is close to 50 and the total budget outlay in excess of Rs.75 crores. The areas in which he has been publishing and doing sponsored research are centered on signal processing. The areas include, object representation, tracking and classification, odometry, depth map generation, representation and rendering. He is also exploring vector sensor based underwater acoustic communications, and performance issues in molecular communications. He is the former head of Bharti School of Telecom Technology and Management, and the co-ordinator of two centers of excellence, viz. Airtel IIT Delhi Centre of Excellence in Telecommunications and Ericsson IIT Delhi 5G Center of Excellence. He is also the in-charge of an IoT laboratory that he set up in collaboration with Samsung. He has mentored 6 startups, in the areas of Virtualization, Geo-fencing, UAV based solutions and recommendation and data mining. He actively participates in building and deploying technology. He has also served as expert in numerous government and private agencies in aspects related to signal processing.","Professor, Department of Management Studies (Programme Coordinator)",Dr. Harish Chaudhry,INR 70000 + GST,USD 0,IIT Delhi,"A desktop/Laptop, a camera (Mobile camera should be fine), some pencil and papers and some basic kit for crafting | Internet speed with minimum 2 Mbps (Wired/LAN Connection) | Supporting OS – Window 7, Window 8, Windows 10 & Mac OS | Recommended Browser – Google Chrome and Firefox | Recommended hardware Devices for Live class – Desktop and Laptop | The Zoom application must be installed on your machine", Soft Skills of Fundraising  |  Management  |  Leadership  |  Analytical ,"Working Professionals, Enterprising Women, Aspiring Young Minds, Budding Entrepreneurs", Certificate Programme, Achievement Motivation  |  Startup Culture  |  Digital Marketing and Analytics  |  Fundraising  |  Managerial Functions  |  Customer Relationship Management  |  95% Completition Rate  |  92% Satisfaction Score  |  Live & Interactive Digital Learning  |  Benefit from Talentedge’s Alumni Network 
"1. Human Resource Development
2. Talent Acquisition Strategy and Succession Planning
3. Strategic Workforce Planning
4. Employee Engagement and Relations
5. Total Rewards
6. HR Analytics
7. Your Role as HR Business Partner
8. Emerging Human Resources Landscape",https://talentedge.com/iim-shillong/pg-certification-human-resource-hr-management,,"Working in HR is both challenging and rewarding. The HR domain is evolving, with the focus shifting from just the administrative duties to providing strategic input and having a seat at the management table.",,Dr. Rohit teaches Organizational Behavior and Human Resources. His interest is in Consulting and Understanding Psychopathology of Organizations Memetic Analysis of Narratives; Organizational Change and Corporate Social Responsibility; Social Change and Development.,IIM Shillong,Dr. Rohit Dwivedi,Dr. Rohit teaches Organizational Behavior and Human Resources. His interest is in Consulting and Understanding Psychopathology of Organizations Memetic Analysis of Narratives; Organizational Change and Corporate Social Responsibility; Social Change and Development.,IIM Shillong,Dr. Ashutosh Murti,INR 150000 + GST,USD 3000,IIM Shillong,Minimum of 1 year of relevant work experience, Business and HR Strategy Planning  |  Competency Based Recruitment and Selection  |  Grievance Handling  |  Leadership Skills  |  Analytics Skills  |  Organizational Design and Change ,"Young HR Professionals, Entrepreneurs, Managers making a Switch to HR domain", POST GRADUATE CERTIFICATE, Human Resource Management  |  Training & Development Methodologies  |  Talent Acquisition  |  Employee Engagement  |  Compensation Systems  |  HR Strategy  |  95% Completition Rate  |  78% Referablity  |  One on one interactions  |  Benefit from Talentedge’s Alumni Network  |  Options for Loan Assistance  |  Mobile platform enabled 
"1. Marketing in Digital Era
2. Paid Search Marketing
3. Online Display Marketing
4. Video Marketing
5. Search Engine Optimisation
6. Strategic Brand Communication
7. Social Media Marketing
8. Content Marketing
9. Remarketing & Conversion
10. Digital Media Analytics
11. Mobile & E-mail Marketing
12. Digital Marketing Plan
13. Capstone Project",https://talentedge.com/xlri-jamshedpur/digital-marketing-course,,.,,"He is the Visiting Faculty at XLRI Jamshedpur since 2008. He is also Adjunct/ Visiting Faculty with other leading Business Schools including IIM Calcutta, IIM Udaipur, XIM Bhubaneswar, and UPH Jakarta..He is also the Promoter, Founder and CEO – Salt n Soap, Medinook and Bluebeaks Solutions. Before his entrepreneurial stint, Atanu was a Director with IBM and, prior to that, a Principal with PwC. With IBM and PwC Atanu has worked extensively in India, USA, UK, SE Asia and China. Working for IBM and PwC Atanu has consulted leading Fortune 100 Companies on their SAP and ERP deployment. Atanu also headed IBM’s SAP Practice for Bangalore and China.","PGDM (IIM Bangalore), BE (Jadavpur University), SGVU",Prof. Atanu Ghosh,"He is the Visiting Faculty at XLRI Jamshedpur since 2008. He is also Adjunct/ Visiting Faculty with other leading Business Schools including IIM Calcutta, IIM Udaipur, XIM Bhubaneswar, and UPH Jakarta..He is also the Promoter, Founder and CEO – Salt n Soap, Medinook and Bluebeaks Solutions. Before his entrepreneurial stint, Atanu was a Director with IBM and, prior to that, a Principal with PwC. With IBM and PwC Atanu has worked extensively in India, USA, UK, SE Asia and China. Working for IBM and PwC Atanu has consulted leading Fortune 100 Companies on their SAP and ERP deployment. Atanu also headed IBM’s SAP Practice for Bangalore and China.","B. Tech [IIT (BHU), Varanasi], FPM [IIM, Lucknow]",Dr. Ravi Shekhar Kumar,INR 90000 + GST,USD 1950,XLRI Jamshedpur,Minimum of  |  of work experience, Search Engine Optimization  |  Strategic Brand Communication  |  Digital Media Analytics  |  Remarketing & Conversion  |  Social Media skills  |  Performance Marketing ,"Marketing Managers, Sales and Marketing Professionals, Entrepreneurs, IT professionals", Executive Development Program, Impact of Digital technology and Media on firm's tactical marketing activities and performance  |  Applications of Digital Marketing tools & techniques  |  Use of Digital Media Analytics  |  Search Engine Optimization  |  Video Marketing  |  Marketing Planning  |  Content Marketing  |  Online Display Advertising  |  95% Completition Rate  |  92% Satisfaction Score  |  78% Referablity  |  Live & Interactive Digital Learning  |  Convenient Schedules to Suit Working Professionals  |  Benefit from Talentedge’s Alumni Network  |  One on one interactions  |  Mobile platform enabled 
"1. Introduction to Programming
2. Basic Data Structures and Algorithms
3. Introduction to Version control
4. Introduction to Javascript and Typescript
5. Server side developments using Node.js, Express.js and Mongo DB
6. System Design
7. Introduction to Frontend Technologies
8. Advanced Frontend Technology
9. Deployment
10. Advanced Data Structures and Algorithms",https://talentedge.com/upgrad/full-stack-development-bootcamp,,upGrad + Talentedge's Full Stack Development Bootcamp is designed for early career technology professionals with,,"Vishwa Mohan currently works as the Staff Engineer at LinkedIn India. With over 10 years of experience, Mohan has worked extensively on web services, and scaling systems, and has a specific interest in distributed systems. He has a B.Tech and an M.Tech in Engineering from the India Institute of Technology. ","Staff Engineer, LinkedIn",Vishwa Mohan,"Vishwa Mohan currently works as the Staff Engineer at LinkedIn India. With over 10 years of experience, Mohan has worked extensively on web services, and scaling systems, and has a specific interest in distributed systems. He has a B.Tech and an M.Tech in Engineering from the India Institute of Technology. ","SDE-3, Paypal",Archit Agarwal,INR 190678 + GST,USD 0,upGrad,, Java  |  HTML  |  GitHub  |  Node.js  |  React.js  |  MongoDB  |  CSS  |  Express.js ,"1-5 yrs Technical Support Professionals, Software Engineering professionals in IT service companies, Freshers in 3rd-4th year of college in Computer Science or related fields pursuing BE, B.Tech, BCA", Full Stack Development Bootcamp - 100% Job Opportunities, Advanced Data Structures and Algorithms  |  System Design  |  Advanced Frontend Technologies  |  Server-side Development  |  95% Completion Rate  |  92% Satisfaction Score  |  78% Referablity 
